startTime,endTime,label
43.53042,43.53046,water
43.53076,43.53076,water
43.83146,43.83146,tissue
43.8315,43.8315,tissue
43.83154,43.83154,tissue
43.83167,43.8317,tissue
43.83172,43.83172,tissue
45.14389,45.14391,water
45.16059,45.16061,tissue
45.16062,45.16066,tissue
45.17814,45.17814,water
45.17824,45.17824,water
45.17836,45.17836,water
45.17838,45.17842,water
45.17848,45.17848,water
45.1787,45.1787,water
45.17874,45.17874,water
45.17893,45.17896,water
45.18302,45.18302,water
45.18316,45.1832,water
45.18323,45.18325,water
45.1833,45.1833,water
45.18336,45.18336,water
45.18344,45.18344,water
45.19743,45.19745,water
45.19761,45.19764,water
45.19766,45.1977,water
45.19774,45.19774,water
45.19786,45.19786,water
45.19789,45.19795,water
45.19803,45.19805,water
45.1981,45.1981,water
45.19815,45.19817,water
45.19819,45.19821,water
45.19834,45.19834,water
45.19832,45.19844,water
45.19943,45.19946,water
45.20074,45.20074,water
45.24543,45.24546,water
45.2461,45.2461,water
45.24618,45.24618,water
45.24626,45.2463,water
45.24645,45.24655,water
45.24654,45.24654,water
45.24657,45.24663,water
45.24672,45.24672,water
45.24677,45.24679,water
45.24691,45.24694,water
45.247,45.247,water
45.24712,45.24712,water
45.24726,45.24731,water
45.24736,45.24736,water
45.24774,45.24774,water
45.25222,45.25222,water
45.25226,45.25226,water
45.25232,45.25232,water
45.25242,45.25242,water
45.2525,45.2525,water
45.25251,45.25257,water
45.25255,45.25261,water
45.25276,45.25276,water
45.25319,45.25322,water
45.25328,45.25328,water
45.25334,45.25334,water
45.25338,45.25338,water
45.25345,45.25347,water
45.2535,45.2535,water
45.25354,45.25354,water
45.25362,45.25362,water
45.25366,45.25366,water
45.25372,45.25372,water
45.25376,45.25376,water
45.25672,45.25672,water
45.25683,45.25689,water
45.2569,45.2569,water
45.26848,45.26848,water
45.26852,45.26852,water
45.2686,45.2686,water
45.26864,45.26864,water
45.26868,45.26868,water
45.26882,45.26882,water
45.2768,45.2768,water
45.27688,45.27688,water
45.27708,45.27708,water
45.27711,45.27713,water
45.27713,45.2772,water
45.2772,45.2772,water
45.27726,45.27726,water
45.27738,45.27738,water
45.2841,45.28411,water
45.28429,45.28431,water
45.28436,45.28448,water
45.28448,45.28448,water
45.28453,45.28455,water
45.28464,45.28464,water
45.28468,45.28468,water
45.28473,45.28483,water
45.28486,45.28486,water
45.29343,45.29346,water
45.2935,45.2935,water
45.29367,45.29369,water
45.29374,45.29374,water
45.29706,45.29706,water
45.29724,45.29724,water
45.29725,45.29731,water
45.2974,45.2974,water
45.29976,45.29976,water
45.29986,45.29986,water
45.29996,45.29996,water
45.30008,45.30008,water
45.30014,45.30014,water
45.30024,45.30024,water
45.3066,45.3066,water
45.30666,45.30666,water
45.30677,45.30683,water
45.3069,45.3069,water
45.30584,45.30821,water
45.30712,45.30712,water
45.30718,45.30718,water
45.30726,45.30726,water
45.31327,45.3133,water
45.31338,45.31338,water
45.31344,45.31344,water
45.31353,45.31356,water
45.3136,45.3136,water
45.31364,45.31364,water
45.31372,45.31372,water
45.3138,45.3138,water
45.31466,45.31466,water
45.3148,45.3148,water
45.31578,45.31578,water
45.31604,45.31604,water
45.31607,45.3161,water
45.31612,45.31612,water
45.31618,45.31618,water
45.31622,45.31622,water
45.31628,45.31629,water
45.31631,45.31634,water
45.31638,45.31638,water
45.3165,45.3165,water
45.31662,45.31662,water
45.31664,45.31668,water
45.31677,45.3168,water
45.31882,45.31882,water
45.31942,45.31942,water
45.31964,45.31964,water
45.32016,45.32016,water
45.3202,45.3202,water
45.32028,45.32028,water
45.3204,45.32052,water
45.32051,45.32054,water
45.32062,45.32062,water
45.32061,45.32075,water
45.32075,45.32082,water
45.32081,45.32083,water
45.32089,45.32092,water
45.32096,45.32096,water
45.321,45.321,water
45.32106,45.32106,water
45.32114,45.32118,water
45.32122,45.32122,water
45.32132,45.32132,water
45.32138,45.32138,water
45.32156,45.32156,water
45.32162,45.32162,water
45.32172,45.32172,water
45.322,45.322,water
45.32207,45.32222,water
45.32248,45.32248,water
45.32836,45.32836,water
45.3284,45.3284,water
45.32851,45.32858,water
45.34715,45.34718,tissue
45.34716,45.34725,tissue
45.3472,45.34729,tissue
45.34731,45.34734,tissue
45.34738,45.34738,tissue
45.36936,45.36936,water
45.36943,45.36946,water
45.36948,45.36948,water
45.36952,45.36952,water
45.36955,45.36957,water
45.36964,45.36965,water
45.37744,45.37745,water
45.37756,45.37761,water
45.37769,45.37771,water
45.3779,45.3779,water
45.37807,45.37809,water
45.37812,45.37812,water
45.37818,45.37818,water
45.38696,45.38696,water
45.38707,45.38709,water
45.38716,45.38716,water
45.38722,45.38722,water
45.38506,45.3895,water
45.38737,45.38739,water
45.3874,45.38744,water
45.38754,45.38758,water
45.40025,45.40031,water
45.40032,45.40032,water
45.40704,45.40704,water
45.4083,45.4083,water
45.40838,45.40838,water
45.40842,45.40842,water
45.40848,45.40849,water
45.40852,45.40852,water
45.4086,45.4086,water
45.40856,45.40873,water
45.40872,45.40872,water
45.4088,45.4088,water
45.40888,45.40892,water
45.40896,45.40896,water
45.40906,45.40906,water
45.40912,45.40912,water
45.40918,45.40918,water
45.40934,45.40934,water
45.40951,45.40953,water
45.4096,45.4096,water
45.40978,45.40978,water
45.40998,45.40998,water
45.41002,45.41002,water
45.4101,45.4101,water
45.41016,45.41016,water
45.41036,45.4104,water
45.41065,45.41067,water
45.41072,45.41072,water
45.41076,45.41081,water
45.41084,45.41084,water
45.41087,45.41089,water
45.41092,45.41092,water
45.41106,45.41106,water
45.4111,45.4111,water
45.41122,45.41122,water
45.41132,45.41132,water
45.41144,45.41144,water
45.4115,45.4115,water
45.41156,45.4116,water
45.41164,45.41168,water
45.41176,45.41176,water
45.41192,45.41192,water
45.41198,45.41198,water
45.41203,45.41206,water
45.41211,45.41213,water
45.41222,45.41222,water
45.4123,45.4123,water
45.41246,45.41246,water
45.41259,45.41269,water
45.41274,45.41274,water
45.4128,45.41284,water
45.4132,45.4132,water
45.41326,45.41326,water
45.4134,45.4134,water
45.41334,45.41355,water
45.41351,45.41353,water
45.41365,45.41371,water
45.41384,45.41385,water
45.41387,45.41417,water
45.41406,45.41406,water
45.41504,45.41504,water
45.41622,45.41622,water
45.421,45.42104,water
45.4216,45.4216,water
45.42208,45.42208,water
45.42242,45.42242,water
45.42256,45.4226,water
45.4226,45.42264,water
45.42272,45.42272,water
45.4228,45.4228,water
45.4229,45.4229,water
45.42302,45.42306,water
45.42308,45.42308,water
45.42314,45.42314,water
45.42332,45.42332,water
45.42338,45.42342,water
45.42976,45.42976,water
45.43006,45.43006,water
45.43014,45.43014,water
45.4302,45.4302,water
45.43024,45.43024,water
45.4303,45.4303,water
45.43042,45.43043,water
45.43048,45.43048,water
45.43062,45.43062,water
45.43076,45.43076,water
45.44486,45.44486,water
45.4449,45.4449,water
45.44514,45.44514,water
45.4452,45.4452,water
45.44526,45.44526,water
45.44534,45.44534,water
45.44538,45.44538,water
45.44545,45.44547,water
45.44554,45.44554,water
45.44568,45.44568,water
45.44615,45.44617,water
45.44628,45.44628,water
